CompanyId;OpportunitiesId;quarter;InitialValue;ClosedValue;TTC;budget;hoursLeft;idx;outcome
737962add6b0f4823171184ee18ac3dd;dkKfhsTUf43vIb191SlWcUd9,2019 Q1;893;0;103;262.5;1082;0;LOST
737962add6b0f4823171184ee18ac3dd;dQ2HAhMQyFHItkmYHSfQv75G,2019 Q2;121;0;117;1113;1083;1;LOST
737962add6b0f4823171184ee18ac3dd;W4AilxjjHKbJ1Fv6LOplUDhN,2019 Q1;846;973;87;262.5;878;2;WON
737962add6b0f4823171184ee18ac3dd;QFDn3E5XYe3cQC4nwBrur1ln,2019 Q2;269;0;102;1113;981;3;LOST
737962add6b0f4823171184ee18ac3dd;ru4z7K2vWXNoAqIaGKfm1DGW,2019 Q2;234;0;21;1113;960;4;LOST
737962add6b0f4823171184ee18ac3dd;LuRCn1iQlQ9duW0FSVUB2tG8,2019 Q2;745;0;130;1113;830;5;LOST
737962add6b0f4823171184ee18ac3dd;wELtlpInnuY902TzHoXmSiEG,2019 Q2;960;0;66;1113;764;6;LOST
737962add6b0f4823171184ee18ac3dd;Nat1Xk9zVWydQ49GzCFjblbB,2019 Q2;1211;0;44;1113;720;7;LOST
737962add6b0f4823171184ee18ac3dd;GiPqTs47DhiGBRg1LHjDP6Fw,2019 Q2;1162;1325;40;1113;680;8;WON
737962add6b0f4823171184ee18ac3dd;K6yd1fg5hf7s6yQEsYM0j5JY,2019 Q1;68;35;47;1235.5;428;9;WON
737962add6b0f4823171184ee18ac3dd;yhjBtrcwzQx6fEQLatxv6pSS,2019 Q2;47;0;114;2438;566;10;LOST
737962add6b0f4823171184ee18ac3dd;2yFuNQZzxkmHggwqAEYLz7Ln,2019 Q2;752;820;101;2438;465;11;WON
737962add6b0f4823171184ee18ac3dd;GaFFnJnsRcy5CnkIsjhelxBd,2019 Q1;553;0;52;1270.5;161;12;LOST
737962add6b0f4823171184ee18ac3dd;f9tOCR9kV91w1AigE6nCxwXb,2019 Q2;326;0;62;3258;403;13;LOST
737962add6b0f4823171184ee18ac3dd;zkdrTMJZkdVpAPrSdxcIfL6q,2019 Q2;642;738;74;3258;329;14;WON
737962add6b0f4823171184ee18ac3dd;9vJpELnO1QYqr1IcaKwa1xw9,2019 Q2;803;0;71;3996;258;15;LOST
737962add6b0f4823171184ee18ac3dd;I3CZYQPnrloWpgKFWccnW06E,2019 Q2;52;0;54;3996;204;16;LOST
737962add6b0f4823171184ee18ac3dd;ATercEIa2KA3rog70kS7mqyY,2019 Q2;281;298;123;3996;81;17;WON
737962add6b0f4823171184ee18ac3dd;lJQMZOhr9AC0qRwf1P8b3I0a,2019 Q2;866;0;74;4294;7;18;LOST
