OpportunityId;CompanyName;Quarter;TeoricalValue;VariationPerc;RealValue;QualificationLevel;TTC;Winner;Status
QoUa1cD0N8PdzOWEPjCoWaDu;JP Ecommerce;2019 Q1;305;10;336;2;22;e81c9a7336eda424eef170a713c0c4dd;CLOSE
rtXBvhhHcRahwgUkCvcQahsM;G.S. Gelato & Desserts;2019 Q1;818;-11;728;2;33;e81c9a7336eda424eef170a713c0c4dd;CLOSE
986OQUMW9ENR2oF7Q8PN9s3g;IT Partners (Bethel Park, PA);2019 Q1;273;3;281;3;109;28659d84a059a1e2cb268dfed693fc08;CLOSE
NwCbmdgB2KwzKv9N9WDQAISq;Hiller Plumbing, Heating, Cooling & Electrical;2019 Q1;536;-32;364;2;68;null;OPEN
buS0XiYSeYACwN8ceNTodwA7;Mack Packaging, Powered by Proforma;2019 Q1;616;-9;561;3;27;null;OPEN
uBA22furRbZr1Liq4LtmVTC0;Freedom Wireless Partners;2019 Q1;625;6;663;2;84;5d108432a63cf486f8430f3f7b372957;CLOSE
mKfzFPf2rtvjcxGlhc3nJSv8;Chargeback Gurus;2019 Q1;554;15;637;4;48;null;OPEN
LvQmshjkCHYlf1GTRUIvzEfB;FlexProfessionals;2019 Q1;314;-50;157;1;64;null;OPEN
6zhwEp7vOiDJFeWjMySYxPIn;Rise Interactive;2019 Q1;1239;10;1363;3;47;null;OPEN
EDW684RmazeI82eDZcVMgv3O;PM Pediatrics;2019 Q1;709;9;773;3;59;null;OPEN
EvzwQOY9GIHOrPgL7iB09s1a;Focus Financial Partners;2019 Q1;111;9;121;3;91;null;OPEN
22eIyyLydiyM0tUFkR0BWbzq;Burgos Group;2019 Q1;604;11;670;2;25;null;OPEN
ENzPWt5BMFu5IlSI72McFj43;TouchSource;2019 Q1;1022;-9;930;3;50;null;OPEN
Q5BrPa37SvzFv1krZsfsDZ6h;My Home Group Real Estate;2019 Q1;935;9;1019;3;15;null;OPEN
neUWewXaVk40pGZgDqoDmMnr;GridGain Systems;2019 Q1;571;-39;348;1;25;null;OPEN
5dMapUqt8yPFBwZ9qFdyvbnP;Twin Termite;2019 Q1;344;10;378;3;103;null;OPEN
W69iK9dzlU0r2GctewRkHdoy;Vets First Choice;2019 Q1;1061;0;NaN;5;43;null;OPEN
eIpkkNNZQ7UOTqq0n9ce8NpO;Kyriba;2019 Q1;443;-3;430;2;40;68f032122b1c2f99edd9bcafc9b03ef5;CLOSE
afYAgbZbX6xyGpb7aA8KldjV;Four Hands;2019 Q1;178;14;203;4;50;null;OPEN
3JruRM2arDgWg0oLOjWtgWKJ;Fresh Prints;2019 Q1;548;-6;515;3;13;null;OPEN
J5iRY3wATT4lwCxTkCUwX7wF;WorkWave;2019 Q1;1388;-13;1208;3;113;null;OPEN
qhIei8kEht0c8lXuBKmgOdgM;FluidEdge Consulting;2019 Q1;220;-21;174;2;126;null;OPEN
fw7W9oGkdcsJW6XCq3H3MUDQ;Atlantic Bay Mortgage Group;2019 Q1;1170;-49;597;2;62;null;OPEN
YQPeV4OWjGNtMOsFBUVycMLV;Greatest Common Factory;2019 Q1;1034;-16;869;3;11;null;OPEN
tJsBua96M3XxvIDKTVfZiTja;Advent Advisory Group;2019 Q1;10;-50;5;1;55;null;OPEN
oP5fUtubk3XI8S95ry0zLlz6;Loft9 Consulting;2019 Q1;120;-9;109;3;135;null;OPEN
